Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z,Distance
0 days 00:00:45.284000,10748,265,6,100,False,9160.0,11559.0,1925.0,3050.842500000002
0 days 00:00:45.374000,10781,268,7,100,False,9111.30420160117,11531.086334687534,1924.7135020941737,3057.5425000000023
0 days 00:00:45.534000,10970,270,7,100,False,9073.270239812126,11508.471301727748,1924.0233266402083,3069.542500000002
0 days 00:00:45.544000,10992,272,7,100,False,9069.0,11506.0,1924.0,3070.2980555555573
0 days 00:00:45.724000,11014,274,7,100,False,8950.0,11438.0,1924.0,3083.998055555557
0 days 00:00:45.774000,11036,276,7,100,False,8905.999916500823,11413.020132280699,1924.1132802214677,3087.8313888888906
0 days 00:00:46.014000,11176,280,7,100,False,8674.600890731945,11282.273103335332,1924.9745171389966,3106.4980555555576
0 days 00:00:46.024000,11291,282,7,100,False,8667.0,11278.0,1925.0,3107.281388888891
0 days 00:00:46.173000,11406,284,7,100,False,8581.007155877607,11229.941869732638,1925.218688254416,3119.035833333335
0 days 00:00:46.524000,11511,286,7,100,False,8404.0,11131.0,1925.0,3146.920833333335
0 days 00:00:46.534000,11616,288,7,100,False,8393.743906646932,11125.175977676108,1924.993604470435,3147.7208333333347
0 days 00:00:46.724000,11229,291,7,100,False,8179.0,11003.0,1925.0,3163.079166666668
0 days 00:00:46.813000,10842,294,7,100,False,8128.6856454585795,10974.6037828478,1925.242025024917,3170.3475000000017
0 days 00:00:46.984000,10735,296,7,100,False,8072.0,10942.0,1926.0,3184.4075000000016
0 days 00:00:47.093000,10629,298,8,100,False,7979.177909500487,10886.965517384971,1926.464770202624,3193.4302777777793
0 days 00:00:47.252000,10692,300,8,100,False,7811.325433534264,10786.287635141294,1926.9779720172057,3206.6802777777793
0 days 00:00:47.264000,10782,302,8,100,False,7801.0,10780.0,1927.0,3207.686944444446
0 days 00:00:47.613000,10872,304,8,100,False,7618.980474357298,10662.252581611545,1926.9700791174969,3237.158055555557
0 days 00:00:47.644000,10928,305,8,100,False,7604.0,10652.0,1927.0,3239.784444444446
0 days 00:00:47.853000,10985,306,8,100,False,7484.281980457857,10568.74290282202,1927.4478436780346,3257.549444444446
0 days 00:00:47.964000,11056,308,8,100,False,7390.0,10497.0,1927.0,3267.0461111111126
0 days 00:00:48.173000,11127,311,8,100,False,7157.577631811739,10309.596613254773,1924.1647901215567,3285.1013888888906
0 days 00:00:48.184000,11165,312,8,100,False,7147.0,10301.0,1924.0,3286.0547222222235
0 days 00:00:48.333000,11204,313,8,100,False,7036.020915573218,10210.912361550829,1921.862673809381,3299.0094444444458
0 days 00:00:48.493000,11198,316,8,100,False,6967.4668443133005,10155.124574535177,1919.864727515434,3313.0538888888905
0 days 00:00:48.584000,11273,316,8,99,False,6930.0,10124.0,1919.0,3321.0416666666683
0 days 00:00:48.733000,11348,317,8,99,False,6867.72680413713,10071.208140869625,1918.0222110859052,3334.1619444444455
0 days 00:00:48.864000,11359,318,8,99,False,6783.0,9998.0,1916.0,3345.733611111112
0 days 00:00:48.893000,11371,319,8,100,False,6757.184289661154,9975.599394446988,1915.2238261448842,3348.3033333333346
0 days 00:00:49.124000,11405,320,8,100,False,6514.0,9764.0,1907.0,3368.836666666668
0 days 00:00:49.133000,11440,321,8,100,False,6506.852819426999,9757.775200622591,1906.757254905561,3369.639166666668
0 days 00:00:49.293000,11440,323,8,100,False,6424.781118618396,9686.235620867134,1904.065114821899,3383.9947222222236
0 days 00:00:49.454000,11559,324,8,100,False,6377.244681675384,9644.694370768291,1902.461447823988,3398.484722222224
0 days 00:00:49.484000,11586,325,8,100,False,6365.0,9634.0,1902.0,3401.1930555555573
0 days 00:00:49.653000,11613,326,8,100,False,6275.842331674543,9556.157247481899,1898.4342282664388,3416.496944444446
0 days 00:00:49.824000,11630,327,8,100,False,6133.0,9432.0,1894.0,3432.0294444444457
0 days 00:00:49.973000,11648,328,8,100,False,5964.746358630774,9286.3061003476,1890.2510536724035,3445.6050000000014
0 days 00:00:49.984000,11688,328,8,100,False,5954.0,9277.0,1890.0,3446.6072222222238
0 days 00:00:50.133000,11729,329,8,100,False,5850.074573668874,9186.90175442151,1887.0713529808909,3460.224166666668
0 days 00:00:50.374000,11786,332,8,100,False,5752.52214042219,9101.704193675429,1883.1957908752438,3482.449722222224
0 days 00:00:50.385000,11806,332,8,100,False,5746.0,9096.0,1883.0,3483.464166666668
0 days 00:00:50.545000,11826,332,8,100,False,5635.0,8999.0,1880.0,3498.219722222224
0 days 00:00:50.614000,11846,332,8,100,False,5588.6309981102995,8958.69007666599,1878.7171117763583,3504.5830555555567
0 days 00:00:50.825000,11885,333,8,100,False,5439.0,8829.0,1876.0,3524.100555555557
0 days 00:00:50.973000,11925,335,8,100,False,5290.436748837407,8699.424483251887,1876.715091549187,3537.872777777779
0 days 00:00:51.024000,11946,335,8,100,False,5243.0,8658.0,1877.0,3542.6186111111124
0 days 00:00:51.134000,11968,335,8,100,False,5159.514139344842,8585.062179823093,1877.209683932472,3552.8547222222232
0 days 00:00:51.484000,11982,336,8,100,False,4975.0,8425.0,1876.0,3585.52138888889
0 days 00:00:51.494000,11996,337,8,100,False,4968.127932105796,8419.111445804036,1875.9918448711996,3586.4575000000013
0 days 00:00:51.524000,12019,337,8,100,False,4947.0,8401.0,1876.0,3589.2658333333347
0 days 00:00:51.764000,12042,338,8,100,False,4777.0,8253.0,1879.0,3611.799166666668
0 days 00:00:51.813000,12065,339,8,100,False,4742.006995195899,8222.51871285511,1879.7823457324153,3616.413333333335
0 days 00:00:52.014000,12057,339,8,100,False,4598.065478691516,8097.587202665015,1882.9491244653573,3635.340833333335
0 days 00:00:52.084000,12068,339,8,100,False,4549.0,8055.0,1884.0,3641.9325000000017
0 days 00:00:52.254000,12079,340,8,100,False,4432.545147242357,7953.8284639583235,1886.5015718601044,3657.988055555557
0 days 00:00:52.284000,12093,340,8,99,False,4412.0,7936.0,1887.0,3660.8213888888904
0 days 00:00:52.444000,12107,340,8,99,False,4299.0,7838.0,1890.0,3675.9325000000017
0 days 00:00:52.494000,12121,341,8,99,False,4260.09038176196,7804.144293177078,1890.9466030349022,3680.6686111111126
0 days 00:00:52.724000,12122,341,8,99,False,4073.0,7641.0,1895.0,3702.4547222222236
0 days 00:00:52.894000,12124,341,8,99,False,3962.5877188175177,7545.277673701474,1897.384522847398,3718.5575000000017
0 days 00:00:52.944000,12146,341,8,99,False,3930.0,7517.0,1898.0,3723.293611111113
0 days 00:00:53.054000,12168,341,8,100,False,3853.522896516983,7450.462232302489,1899.2334419372173,3733.7130555555573
0 days 00:00:53.224000,12159,341,8,100,False,3729.0,7342.0,1901.0,3749.8158333333345
0 days 00:00:53.294000,12151,342,8,100,False,3678.698836270146,7298.298496403673,1901.7686160793162,3756.4658333333346
0 days 00:00:53.404000,12115,342,8,100,False,3600.0,7230.0,1903.0,3766.9158333333353
0 days 00:00:53.493000,12080,343,8,100,False,3535.447784998531,7173.960782788333,1903.9808547466373,3775.395555555557
0 days 00:00:53.604000,12088,342,8,99,False,3456.0,7105.0,1905.0,3785.940555555557
0 days 00:00:53.804000,12096,341,8,99,False,3312.0,6980.0,1906.0,3804.8850000000016
0 days 00:00:53.893000,12104,340,8,99,False,3228.185431651982,6906.976917857102,1906.7116786596678,3813.290555555557
0 days 00:00:54.124000,11820,334,8,52,False,2997.0,6705.0,1909.0,3834.722222222224
0 days 00:00:54.133000,11537,329,8,6,True,2990.326544885293,6699.156360361995,1909.064840413922,3835.544722222224
0 days 00:00:54.293000,10417,295,8,3,True,2906.434366514212,6625.463700897531,1909.8378694982357,3848.655833333335
0 days 00:00:54.544000,10626,254,8,3,True,2840.0,6563.0,1910.0,3866.3652777777793
0 days 00:00:55.053000,10835,214,6,4,True,2643.1138762219557,6344.101755911304,1908.4019042484474,3896.6225000000013
0 days 00:00:55.124000,10657,206,6,5,True,2622.0,6311.0,1908.0,3900.6852777777794
0 days 00:00:55.293000,10480,199,5,7,True,2583.962496455036,6232.310389964851,1907.0344753098377,3910.027222222224
0 days 00:00:55.304000,10500,197,5,10,True,2582.0,6227.0,1907.0,3910.6291666666684
